time,lat,lon,depth,time_in,time_out,duration_minutes,volume_water,sieve_size,wet_weight,dry_weight,wet_weight_vol_water_ratio,dry_weight_vol_water_ratio,total_wet_weight_volume_all_size_fractions_ratio,total_dry_weight_volume_all_size_fractions_ratio,wet_weight_vol_water_ratio_200m_depth,dry_weight_vol_water_ratio_200m_depth,total_wet_weight_volume_all_size_fractions_ratio_200m_depth,total_dry_weight_volume_all_size_fractions_ratio_200m_depth,Cruise_ID
1995-05-10T00:00:00.000Z,31.67083333333333,-64.17083333333333,200,2320,2356,36,433.408,200,1521,242.8,3.51,0.56,22.9,3.49,701.79,112.04,4580.26,697.82,10080
1995-05-10T00:00:00.000Z,31.67083333333333,-64.17083333333333,200,2320,2356,36,433.408,500,2156,300.4,4.97,0.69,22.9,3.49,994.91,138.62,4580.26,697.82,10080
1995-05-10T00:00:00.000Z,31.67083333333333,-64.17083333333333,200,2320,2356,36,433.408,1000,2551,395.8,5.89,0.91,22.9,3.49,1177.09,182.65,4580.26,697.82,10080
1995-05-10T00:00:00.000Z,31.67083333333333,-64.17083333333333,200,2320,2356,36,433.408,2000,3080,477.6,7.11,1.1,22.9,3.49,1421.29,220.39,4580.26,697.82,10080
1995-05-10T00:00:00.000Z,31.67083333333333,-64.17083333333333,200,2320,2356,36,433.408,5000,618,95.6,1.43,0.22,22.9,3.49,285.18,44.12,4580.26,697.82,10080
1995-05-10T00:00:00.000Z,31.674166666666665,-64.16805555555554,185,2237,2310,33,399.226,200,271,118.8,0.68,0.3,11.19,2.06,135.56,59.52,2237.13,411.6,10080
1995-05-10T00:00:00.000Z,31.674166666666665,-64.16805555555554,185,2237,2310,33,399.226,500,1381,215,3.46,0.54,11.19,2.06,691.74,107.71,2237.13,411.6,10080
1995-05-10T00:00:00.000Z,31.674166666666665,-64.16805555555554,185,2237,2310,33,399.226,1000,1136,199,2.85,0.5,11.19,2.06,569,99.69,2237.13,411.6,10080
1995-05-10T00:00:00.000Z,31.674166666666665,-64.16805555555554,185,2237,2310,33,399.226,2000,1307,232.6,3.27,0.58,11.19,2.06,654.67,116.53,2237.13,411.6,10080
1995-05-10T00:00:00.000Z,31.674166666666665,-64.16805555555554,185,2237,2310,33,399.226,5000,372,56.2,0.93,0.14,11.19,2.06,186.16,28.15,2237.13,411.6,10080
1995-05-11T00:00:00.000Z,31.66583333333333,-64.19333333333334,200,1015,1046,31,367.44199999999995,200,175,107.6,0.48,0.29,12.72,2.3,95.36,58.57,2543.42,459.39,10080
1995-05-11T00:00:00.000Z,31.66583333333333,-64.19333333333334,200,1015,1046,31,367.44199999999995,500,773,183,2.1,0.5,12.72,2.3,420.53,99.61,2543.42,459.39,10080
1995-05-11T00:00:00.000Z,31.66583333333333,-64.19333333333334,200,1015,1046,31,367.44199999999995,1000,2309,294.2,6.28,0.8,12.72,2.3,1256.8,160.13,2543.42,459.39,10080
1995-05-11T00:00:00.000Z,31.66583333333333,-64.19333333333334,200,1015,1046,31,367.44199999999995,2000,1387,249,3.77,0.68,12.72,2.3,754.73,135.53,2543.42,459.39,10080
1995-05-11T00:00:00.000Z,31.66583333333333,-64.19333333333334,200,1015,1046,31,367.44199999999995,5000,29,10.2,0.08,0.03,12.72,2.3,16,5.55,2543.42,459.39,10080
